routerproto,juggler,goodput,throughput,fct,meanNetworkUtilization
ps-mptcp,true,134207.07732634337,194731.3237221494,0.0763,0.8713347407928689
ps-mptcp,true,186520.9471766849,273005.4644808743,0.0549,0.6988064155165983
ps-mptcp,true,168976.897689769,216963.69636963695,0.0606,0.6545201115093588
ps-mptcp,true,182206.4056939502,265907.4733096085,0.0562,0.7835570469798658
ecmp-mptcp,false,46524.307133121314,64034.52975920037,0.2201,0.6534075104311544
ecmp-mptcp,false,123821.03990326481,313204.3530834341,0.0827,0.7034734133790738
ecmp-mptcp,false,96694.99527856469,123928.2341831917,0.1059,0.27522858820568746
ecmp-mptcp,false,109401.70940170939,141004.2735042735,0.0936,0.28495552292944126
ecmp-mptcp,false,101890.54726368158,136577.11442786068,0.1005,0.2819406786623942
ecmp-mptcp,false,114158.30546265328,201761.4269788183,0.0897,0.4716459918690712
ecmp-mptcp,false,119208.38183934808,155506.40279394644,0.0859,0.38438075506445674
ecmp-mptcp,false,106004.14078674947,138768.115942029,0.0966,0.6169458762886597
ecmp-mptcp,false,96512.72384542885,133034.8727615457,0.1061,0.6394980065241029
ecmp-mptcp,false,91184.32769367765,138219.05609973287,0.1123,0.32230066445182726
ecmp-mptcp,false,113149.17127071823,183226.5193370166,0.0905,0.5803508275569387
ecmp-mptcp,false,128320.80200501253,187932.33082706766,0.0798,0.3938701544279861
ecmp-mptcp,false,106666.66666666667,161166.66666666666,0.096,0.3474355519626336
ecmp-mptcp,false,103748.73353596758,133333.33333333334,0.0987,0.3922269909394373
ecmp-mptcp,false,108820.40382571732,140382.57173219978,0.0941,0.3260739856801909
ecmp-mptcp,false,85618.72909698996,315418.06020066893,0.1196,0.4357753414475518
ecmp-mptcp,false,93090.90909090909,165236.36363636365,0.11,0.5244085401038662
ecmp-mptcp,false,97431.01807802093,125803.99619410085,0.1051,0.5328014184397163
ecmp-mptcp,false,96694.99527856469,188564.68366383383,0.1059,0.754800423344421
ecmp-mptcp,false,102093.71884346959,151595.2143569292,0.1003,0.37800815433572
ecmp-mptcp,false,93772.89377289377,137188.64468864468,0.1092,0.5625187744067287
ecmp-mptcp,false,121615.20190023753,155866.98337292162,0.0842,0.5765243366719381
ecmp-mptcp,false,98841.69884169885,161032.81853281855,0.1036,0.7609469074986317
ecmp-mptcp,false,90299.82363315696,161261.0229276896,0.1134,0.5344575637128829
ecmp-mptcp,false,89510.48951048951,123557.69230769231,0.1144,0.5141495707842282
ecmp-mptcp,false,94117.64705882354,123097.42647058824,0.1088,0.5171841210997838
ecmp-mptcp,false,252216.74876847293,323251.2315270936,0.0406,0.7055155359638748
ecmp-mptcp,false,105349.79423868313,169197.53086419753,0.0972,0.6250380054727881
ecmp-mptcp,false,115575.62076749436,266534.9887133183,0.0886,0.4334299977975185
ecmp-mptcp,false,190334.5724907063,258773.2342007435,0.0538,0.7847801578354002
